House_Id,variable,value
220,Neighborhood,Blmngtn
230,Neighborhood,Blmngtn
386,Neighborhood,Blmngtn
444,Neighborhood,Blmngtn
466,Neighborhood,Blmngtn
560,Neighborhood,Blmngtn
598,Neighborhood,Blmngtn
640,Neighborhood,Blmngtn
791,Neighborhood,Blmngtn
852,Neighborhood,Blmngtn
983,Neighborhood,Blmngtn
1005,Neighborhood,Blmngtn
1020,Neighborhood,Blmngtn
1024,Neighborhood,Blmngtn
1127,Neighborhood,Blmngtn
1395,Neighborhood,Blmngtn
1416,Neighborhood,Blmngtn
600,Neighborhood,Blueste
957,Neighborhood,Blueste
226,Neighborhood,BrDale
228,Neighborhood,BrDale
233,Neighborhood,BrDale
236,Neighborhood,BrDale
364,Neighborhood,BrDale
431,Neighborhood,BrDale
433,Neighborhood,BrDale
501,Neighborhood,BrDale
656,Neighborhood,BrDale
838,Neighborhood,BrDale
1030,Neighborhood,BrDale
1105,Neighborhood,BrDale
1220,Neighborhood,BrDale
1292,Neighborhood,BrDale
1335,Neighborhood,BrDale
1379,Neighborhood,BrDale
10,Neighborhood,BrkSide
16,Neighborhood,BrkSide
30,Neighborhood,BrkSide
52,Neighborhood,BrkSide
78,Neighborhood,BrkSide
147,Neighborhood,BrkSide
150,Neighborhood,BrkSide
185,Neighborhood,BrkSide
251,Neighborhood,BrkSide
276,Neighborhood,BrkSide
290,Neighborhood,BrkSide
329,Neighborhood,BrkSide
346,Neighborhood,BrkSide
362,Neighborhood,BrkSide
394,Neighborhood,BrkSide
438,Neighborhood,BrkSide
443,Neighborhood,BrkSide
460,Neighborhood,BrkSide
498,Neighborhood,BrkSide
523,Neighborhood,BrkSide
532,Neighborhood,BrkSide
534,Neighborhood,BrkSide
547,Neighborhood,BrkSide
556,Neighborhood,BrkSide
585,Neighborhood,BrkSide
587,Neighborhood,BrkSide
590,Neighborhood,BrkSide
637,Neighborhood,BrkSide
695,Neighborhood,BrkSide
697,Neighborhood,BrkSide
711,Neighborhood,BrkSide
714,Neighborhood,BrkSide
762,Neighborhood,BrkSide
808,Neighborhood,BrkSide
827,Neighborhood,BrkSide
913,Neighborhood,BrkSide
936,Neighborhood,BrkSide
961,Neighborhood,BrkSide
975,Neighborhood,BrkSide
977,Neighborhood,BrkSide
996,Neighborhood,BrkSide
1099,Neighborhood,BrkSide
1136,Neighborhood,BrkSide
1140,Neighborhood,BrkSide
1146,Neighborhood,BrkSide
1203,Neighborhood,BrkSide
1219,Neighborhood,BrkSide
1256,Neighborhood,BrkSide
1264,Neighborhood,BrkSide
1286,Neighborhood,BrkSide
1322,Neighborhood,BrkSide
1324,Neighborhood,BrkSide
1353,Neighborhood,BrkSide
1390,Neighborhood,BrkSide
1398,Neighborhood,BrkSide
1401,Neighborhood,BrkSide
1415,Neighborhood,BrkSide
1444,Neighborhood,BrkSide
70,Neighborhood,ClearCr
121,Neighborhood,ClearCr
154,Neighborhood,ClearCr
167,Neighborhood,ClearCr
177,Neighborhood,ClearCr
250,Neighborhood,ClearCr
272,Neighborhood,ClearCr
280,Neighborhood,ClearCr
352,Neighborhood,ClearCr
359,Neighborhood,ClearCr
372,Neighborhood,ClearCr
385,Neighborhood,ClearCr
452,Neighborhood,ClearCr
458,Neighborhood,ClearCr
589,Neighborhood,ClearCr
683,Neighborhood,ClearCr
707,Neighborhood,ClearCr
790,Neighborhood,ClearCr
801,Neighborhood,ClearCr
819,Neighborhood,ClearCr
829,Neighborhood,ClearCr
849,Neighborhood,ClearCr
940,Neighborhood,ClearCr
1066,Neighborhood,ClearCr
1174,Neighborhood,ClearCr
1263,Neighborhood,ClearCr
1271,Neighborhood,ClearCr
1288,Neighborhood,ClearCr
1,Neighborhood,CollgCr
3,Neighborhood,CollgCr
14,Neighborhood,CollgCr
23,Neighborhood,CollgCr
33,Neighborhood,CollgCr
37,Neighborhood,CollgCr
44,Neighborhood,CollgCr
58,Neighborhood,CollgCr
60,Neighborhood,CollgCr
65,Neighborhood,CollgCr
68,Neighborhood,CollgCr
90,Neighborhood,CollgCr
95,Neighborhood,CollgCr
97,Neighborhood,CollgCr
104,Neighborhood,CollgCr
113,Neighborhood,CollgCr
120,Neighborhood,CollgCr
139,Neighborhood,CollgCr
140,Neighborhood,CollgCr
142,Neighborhood,CollgCr
144,Neighborhood,CollgCr
151,Neighborhood,CollgCr
193,Neighborhood,CollgCr
195,Neighborhood,CollgCr
204,Neighborhood,CollgCr
214,Neighborhood,CollgCr
215,Neighborhood,CollgCr
217,Neighborhood,CollgCr
221,Neighborhood,CollgCr
234,Neighborhood,CollgCr
237,Neighborhood,CollgCr
249,Neighborhood,CollgCr
258,Neighborhood,CollgCr
259,Neighborhood,CollgCr
262,Neighborhood,CollgCr
291,Neighborhood,CollgCr
302,Neighborhood,CollgCr
303,Neighborhood,CollgCr
304,Neighborhood,CollgCr
306,Neighborhood,CollgCr
338,Neighborhood,CollgCr
356,Neighborhood,CollgCr
375,Neighborhood,CollgCr
377,Neighborhood,CollgCr
383,Neighborhood,CollgCr
389,Neighborhood,CollgCr
397,Neighborhood,CollgCr
402,Neighborhood,CollgCr
429,Neighborhood,CollgCr
436,Neighborhood,CollgCr
445,Neighborhood,CollgCr
465,Neighborhood,CollgCr
477,Neighborhood,CollgCr
479,Neighborhood,CollgCr
519,Neighborhood,CollgCr
537,Neighborhood,CollgCr
540,Neighborhood,CollgCr
591,Neighborhood,CollgCr
594,Neighborhood,CollgCr
595,Neighborhood,CollgCr
605,Neighborhood,CollgCr
607,Neighborhood,CollgCr
611,Neighborhood,CollgCr
613,Neighborhood,CollgCr
653,Neighborhood,CollgCr
671,Neighborhood,CollgCr
684,Neighborhood,CollgCr
691,Neighborhood,CollgCr
705,Neighborhood,CollgCr
720,Neighborhood,CollgCr
722,Neighborhood,CollgCr
728,Neighborhood,CollgCr
733,Neighborhood,CollgCr
740,Neighborhood,CollgCr
753,Neighborhood,CollgCr
757,Neighborhood,CollgCr
769,Neighborhood,CollgCr
777,Neighborhood,CollgCr
783,Neighborhood,CollgCr
803,Neighborhood,CollgCr
812,Neighborhood,CollgCr
816,Neighborhood,CollgCr
821,Neighborhood,CollgCr
833,Neighborhood,CollgCr
839,Neighborhood,CollgCr
848,Neighborhood,CollgCr
851,Neighborhood,CollgCr
857,Neighborhood,CollgCr
872,Neighborhood,CollgCr
880,Neighborhood,CollgCr
912,Neighborhood,CollgCr
929,Neighborhood,CollgCr
934,Neighborhood,CollgCr
939,Neighborhood,CollgCr
949,Neighborhood,CollgCr
953,Neighborhood,CollgCr
959,Neighborhood,CollgCr
964,Neighborhood,CollgCr
984,Neighborhood,CollgCr
994,Neighborhood,CollgCr
1000,Neighborhood,CollgCr
1006,Neighborhood,CollgCr
1017,Neighborhood,CollgCr
1022,Neighborhood,CollgCr
1026,Neighborhood,CollgCr
1034,Neighborhood,CollgCr
1038,Neighborhood,CollgCr
1048,Neighborhood,CollgCr
1052,Neighborhood,CollgCr
1055,Neighborhood,CollgCr
1075,Neighborhood,CollgCr
1079,Neighborhood,CollgCr
1080,Neighborhood,CollgCr
1083,Neighborhood,CollgCr
1096,Neighborhood,CollgCr
1122,Neighborhood,CollgCr
1143,Neighborhood,CollgCr
1167,Neighborhood,CollgCr
1189,Neighborhood,CollgCr
1199,Neighborhood,CollgCr
1202,Neighborhood,CollgCr
1204,Neighborhood,CollgCr
1208,Neighborhood,CollgCr
1238,Neighborhood,CollgCr
1241,Neighborhood,CollgCr
1279,Neighborhood,CollgCr
1281,Neighborhood,CollgCr
1283,Neighborhood,CollgCr
1308,Neighborhood,CollgCr
1312,Neighborhood,CollgCr
1317,Neighborhood,CollgCr
1319,Neighborhood,CollgCr
1332,Neighborhood,CollgCr
1339,Neighborhood,CollgCr
1340,Neighborhood,CollgCr
1343,Neighborhood,CollgCr
1345,Neighborhood,CollgCr
1355,Neighborhood,CollgCr
1367,Neighborhood,CollgCr
1369,Neighborhood,CollgCr
1370,Neighborhood,CollgCr
1373,Neighborhood,CollgCr
1391,Neighborhood,CollgCr
1403,Neighborhood,CollgCr
1407,Neighborhood,CollgCr
1411,Neighborhood,CollgCr
1423,Neighborhood,CollgCr
1442,Neighborhood,CollgCr
1445,Neighborhood,CollgCr
1448,Neighborhood,CollgCr
4,Neighborhood,Crawfor
93,Neighborhood,Crawfor
114,Neighborhood,Crawfor
115,Neighborhood,Crawfor
182,Neighborhood,Crawfor
191,Neighborhood,Crawfor
219,Neighborhood,Crawfor
252,Neighborhood,Crawfor
300,Neighborhood,Crawfor
301,Neighborhood,Crawfor
408,Neighborhood,Crawfor
418,Neighborhood,Crawfor
439,Neighborhood,Crawfor
464,Neighborhood,Crawfor
504,Neighborhood,Crawfor
