,Title,US Gross,Worldwide Gross,Production Budget,Release Date,MPAA Rating,Source,Major Genre,Creative Type,IMDB Rating,IMDB Votes,ratio_wgross_by_budget,Release Year
0,Opal Dreams,14443,14443,9000000,2006-11-22,PG/PG-13,Adapted screenplay,Drama,Fiction,6.5,468,0.0016047777777777777,2006
1,Major Dundee,14873,14873,3800000,1965-04-07,PG/PG-13,Adapted screenplay,Western/Musical,Fiction,6.7,2588,0.003913947368421052,1965
2,The Informers,315000,315000,18000000,2009-04-24,R,Adapted screenplay,Horror/Thriller,Fiction,5.2,7595,0.0175,2009
3,Buffalo Soldiers,353743,353743,15000000,2003-07-25,R,Adapted screenplay,Comedy,Fiction,6.9,13510,0.023582866666666667,2003
4,The Last Sin Eater,388390,388390,2200000,2007-02-09,PG/PG-13,Adapted screenplay,Drama,Fiction,5.7,1012,0.17654090909090908,2007
5,The City of Your Final Destination,493296,493296,8300000,2010-04-16,PG/PG-13,Adapted screenplay,Drama,Fiction,6.6,430,0.059433253012048194,2010
6,The Claim,622023,622023,13000000,2000-12-29,R,Adapted screenplay,Western/Musical,Fiction,6.5,3681,0.04784792307692308,2000
7,Texas Rangers,623374,623374,38000000,2001-11-30,PG/PG-13,Adapted screenplay,Western/Musical,Fiction,5.0,2645,0.01640457894736842,2001
8,Ride With the Devil,630779,630779,35000000,1999-11-24,R,Adapted screenplay,Western/Musical,Fiction,6.4,1873,0.018022257142857143,1999
9,Karakter,713413,713413,4500000,1998-03-27,R,Adapted screenplay,Drama,Fiction,7.8,5531,0.15853622222222222,1998
10,Charly,814666,814666,950000,2002-09-27,PG/PG-13,Adapted screenplay,Drama,Fiction,5.8,60,0.8575431578947369,2002
11,AimÈe & Jaguar,927107,927107,6800000,2000-08-11,Other,Adapted screenplay,Drama,Non-Fiction,7.2,2974,0.13633926470588234,2000
12,Savage Grace,434417,968805,4600000,2008-05-28,Other,Adapted screenplay,Drama,Non-Fiction,5.7,3838,0.21060978260869564,2008
13,Owning Mahowny,1011054,1011054,10000000,2003-05-02,R,Adapted screenplay,Drama,Non-Fiction,7.0,5789,0.1011054,2003
14,A Home at the End of the World,1029017,1033810,6500000,2004-07-23,R,Adapted screenplay,Drama,Fiction,6.7,7180,0.1590476923076923,2004
15,Thr3e,1008849,1060418,2400000,2007-01-05,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,5.0,2825,0.44184083333333335,2007
16,Lolita,1147784,1147784,55000000,1998-07-22,R,Adapted screenplay,Drama,Fiction,6.7,15197,0.0208688,1998
17,Me and Orson Welles,1190003,1190003,25000000,2009-11-25,PG/PG-13,Adapted screenplay,Drama,Fiction,7.1,2417,0.04760012,2009
18,Bubba Ho-Tep,1239183,1239183,1000000,2003-09-19,R,Adapted screenplay,Comedy,Fiction,7.3,23110,1.239183,2003
19,The Good German,1308696,1308696,32000000,2006-12-15,R,Adapted screenplay,Drama,Fiction,6.1,13007,0.04089675,2006
20,Le hussard sur le toit,1320043,1320043,35000000,1996-04-19,R,Adapted screenplay,Drama,Fiction,6.9,3083,0.037715514285714284,1996
21,"Gandhi, My Father",240425,1375194,5000000,2007-08-03,Other,Adapted screenplay,Drama,Non-Fiction,8.1,50881,0.2750388,2007
22,Married Life,1506998,1506998,12000000,2008-03-07,PG/PG-13,Adapted screenplay,Drama,Fiction,6.4,4358,0.12558316666666666,2008
23,Nicholas Nickleby,1562800,1562800,10000000,2002-12-27,PG/PG-13,Adapted screenplay,Drama,Fiction,7.3,4968,0.15628,2002
24,Oscar and Lucinda,1612957,1612957,12500000,1997-12-31,R,Adapted screenplay,Drama,Fiction,6.7,3782,0.12903656,1997
25,Spider,1641788,1641788,10000000,2003-02-28,R,Adapted screenplay,Drama,Fiction,7.8,560,0.1641788,2003
26,Jesus' Son,1282084,1687548,2500000,2000-06-16,R,Adapted screenplay,Drama,Fiction,6.7,4620,0.6750192,2000
27,The Dangerous Lives of Altar Boys,1779284,1779284,12000000,2002-06-14,R,Adapted screenplay,Drama,Fiction,6.9,7943,0.14827366666666666,2002
28,Les herbes folles,377556,1877556,14000000,2010-06-25,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,6.7,915,0.13411114285714285,2010
29,Thumbsucker,1328679,1919197,4000000,2005-09-16,R,Adapted screenplay,Comedy,Fiction,6.7,12109,0.47979925,2005
30,Crazy in Alabama,1954202,1954202,15000000,1999-10-22,PG/PG-13,Adapted screenplay,Drama,Fiction,5.7,3991,0.13028013333333333,1999
31,Felicia's Journey,824295,1970268,15000000,1999-11-12,PG/PG-13,Adapted screenplay,Drama,Fiction,6.9,4790,0.1313512,1999
32,Sur Le Seuil,2013052,2013052,2500000,2003-10-03,Other,Adapted screenplay,Drama,Fiction,6.7,585,0.8052208,2003
33,The Work and the Glory: American Zion,2025032,2025032,6500000,2005-10-21,PG/PG-13,Adapted screenplay,Drama,Fiction,5.6,365,0.3115433846153846,2005
34,A Dog of Flanders,2165637,2165637,7000000,1999-08-27,PG/PG-13,Adapted screenplay,Drama,Fiction,5.9,482,0.3093767142857143,1999
35,Smilla's Sense of Snow,2221994,2221994,35000000,1997-02-28,R,Adapted screenplay,Horror/Thriller,Fiction,6.1,7280,0.06348554285714286,1997
36,Last Orders,2326407,2326407,12000000,2002-02-15,R,Adapted screenplay,Drama,Fiction,7.0,3463,0.19386725,2002
37,What Just Happened,1090947,2412123,27000000,2008-10-17,R,Adapted screenplay,Comedy,Fiction,5.9,12537,0.08933788888888888,2008
38,And When Did You Last See Your Father?,1071240,2476491,8000000,2008-06-06,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,6.8,1798,0.309561375,2008
