Student ID,Career,Program and Plan,Level,Section,Practice Midterm,Midterm
1,Undergraduate,Weinberg College of Arts & Sci - Data Science,Junior,Sec20,14.5,15.67
2,Undergraduate,Weinberg College of Arts & Sci - Data Science,Sophomore,Sec20,16.5,8.33
3,Undergraduate,School of Educ & Soc Policy - Social Policy/Cognitive Science/Data Science,Junior,Sec20,10.33,12.21
4,Undergraduate,Weinberg College of Arts & Sci - Mathematics/Data Science,Senior,Sec20,7.17,9.04
5,Undergraduate,Weinberg College of Arts & Sci - Undeclared,Junior,Sec20,8.67,10.63
6,Undergraduate,Weinberg College of Arts & Sci - Statistics,Senior,Sec20,9,10.63
7,Undergraduate,School of Communication - Communication Studies/Data Science,Sophomore,Sec20,17.67,11.75
8,Undergraduate,School of Journalism - Journalism/Data Science,Sophomore,Sec20,18,11.75
9,Undergraduate,Bienen School of Music - Data Science/Wind & Percussion Instruments,Junior,Sec20,15,9.08
10,Undergraduate,Weinberg College of Arts & Sci - Data Science,Sophomore,Sec20,20,19.75
11,Undergraduate,School of Journalism - Journalism/Data Science/Business Institutions,Junior,Sec20,14.5,8.88
12,Undergraduate,Weinberg College of Arts & Sci - Computer Science/Data Science,Junior,Sec20,19,12.75
13,Undergraduate,Weinberg College of Arts & Sci - Data Science/Psychology,Junior,Sec20,11.5,14.38
14,Undergraduate,Weinberg College of Arts & Sci - Undeclared/Data Science,Sophomore,Sec20,12.17,7.21
15,Undergraduate,School of Communication - Linguistics/Theatre/Data Science,Senior,Sec20,12.5,13.29
16,Undergraduate,Weinberg College of Arts & Sci - Data Science,Sophomore,Sec20,17.17,12
17,Undergraduate,Weinberg College of Arts & Sci - Economics,Junior,Sec20,20,20.17
18,Undergraduate,School of Communication - Psychology/Theatre/IMC/Data Science/Human-Computer Interaction Crt,Senior,Sec20,20,10.92
19,Undergraduate,School of Engineering - Computer Science/Data Science,Sophomore,Sec20,12.17,17.46
20,Undergraduate,Weinberg College of Arts & Sci - Biological Sciences/Religious Studies/Data Science,Senior,Sec20,12.67,16.46
21,Undergraduate,Weinberg College of Arts & Sci - Data Science,Sophomore,Sec20,11.17,13.75
22,Undergraduate,School of Communication - Data Science/Dance,Sophomore,Sec20,15,8.17
23,Undergraduate,School of Journalism - Journalism/Data Science/Business Institutions,Sophomore,Sec20,17,11.5
24,Undergraduate,Weinberg College of Arts & Sci - English/Data Science,Senior,Sec20,13,20
25,Undergraduate,Weinberg College of Arts & Sci - Data Science/Statistics,Sophomore,Sec20,1,5
26,Undergraduate,Weinberg College of Arts & Sci - Data Science/Math Methods in the Social Sci/Philosophy,Senior,Sec20,20,17.63
27,Undergraduate,Weinberg College of Arts & Sci - Data Science/Business Institutions,Sophomore,Sec20,20,11.08
