Name	Location	Rank	Tuition and fees	Undergrad Enrollment
Princeton University	Princeton, NJ	1.0	45320.0	5402.0
Harvard University	Cambridge, MA	2.0	47074.0	6699.0
University of Chicago	Chicago, IL	3.0	52491.0	5844.0
Yale University	New Haven, CT	3.0	49480.0	5532.0
Columbia University	New York, NY	5.0	55056.0	6102.0
Stanford University	Stanford, CA	5.0	47940.0	6999.0
Massachusetts Institute of Technology	Cambridge, MA	7.0	48452.0	4527.0
Duke University	Durham, NC	8.0	51265.0	6639.0
University of Pennsylvania	Philadelphia, PA	8.0	51464.0	9726.0
Johns Hopkins University	Baltimore, MD	10.0	50410.0	6524.0
Dartmouth College	Hanover, NH	11.0	51438.0	4307.0
California Institute of Technology	Pasadena, CA	12.0	47577.0	1001.0
Northwestern University	Evanston, IL	12.0	50855.0	8314.0
Brown University	Providence, RI	14.0	51367.0	6652.0
Cornell University	Ithaca, NY	15.0	50953.0	14315.0
Rice University	Houston, TX	15.0	43918.0	3910.0
University of Notre Dame	Notre Dame, IN	15.0	49685.0	8462.0
Vanderbilt University	Nashville, TN	15.0	45610.0	6883.0
Washington University in St. Louis	St. Louis, MO	19.0	49770.0	7504.0
Emory University	Atlanta, GA	20.0	47954.0	6867.0
Georgetown University	Washington, DC	20.0	50547.0	7562.0
University of California--Berkeley	Berkeley, CA	20.0	40191.0	27496.0
University of Southern California	Los Angeles, CA	23.0	52217.0	18810.0
Carnegie Mellon University	Pittsburgh, PA	24.0	52040.0	6454.0
University of California--Los Angeles	Los Angeles, CA	24.0	39518.0	29585.0
University of Virginia	Charlottesville, VA	24.0	45066.0	16736.0
Tufts University	Medford, MA	27.0	52430.0	5290.0
University of Michigan--Ann Arbor	Ann Arbor, MI	27.0	43476.0	28312.0
Wake Forest University	Winston-Salem, NC	27.0	49308.0	4871.0
University of North Carolina--Chapel Hill	Chapel Hill, NC	30.0	33916.0	18415.0
Boston College	Chestnut Hill, MA	31.0	51296.0	9192.0
College of William & Mary	Williamsburg, VA	32.0	41718.0	6301.0
University of Rochester	Rochester, NY	32.0	50142.0	6304.0
Brandeis University	Waltham, MA	34.0	51570.0	3621.0
Georgia Institute of Technology	Atlanta, GA	34.0	32404.0	15142.0
New York University	New York, NY	36.0	49062.0	25722.0
Case Western Reserve University	Cleveland, OH	37.0	46006.0	5121.0
University of California--Santa Barbara	Santa Barbara, CA	37.0	40704.0	20607.0
Boston University	Boston, MA	39.0	50240.0	17932.0
Northeastern University	Boston, MA	39.0	47655.0	13697.0
Rensselaer Polytechnic Institute	Troy, NY	39.0	50797.0	5864.0
Tulane University	New Orleans, LA	39.0	51010.0	6662.0
University of California--Irvine	Irvine, CA	39.0	39458.0	25256.0
Lehigh University	Bethlehem, PA	44.0	48320.0	5075.0
University of California--Davis	Davis, CA	44.0	40728.0	28384.0
University of California--San Diego	La Jolla, CA	44.0	41387.0	26590.0
University of Illinois--Urbana-Champaign	Champaign, IL	44.0	31320.0	33368.0
University of Miami	Coral Gables, FL	44.0	47004.0	11122.0
University of Wisconsin--Madison	Madison, WI	44.0	32738.0	31662.0
Pepperdine University	Malibu, CA	50.0	50022.0	3533.0
University of Florida	Gainesville, FL	50.0	28666.0	35043.0
Villanova University	Villanova, PA	50.0	49280.0	6994.0
Pennsylvania State University--University Park	University Park, PA	50.0	32382.0	40742.0
Ohio State University--Columbus	Columbus, OH	54.0	29229.0	45289.0
University of Washington	Seattle, WA	54.0	34791.0	31063.0
George Washington University	Washington, DC	56.0	51950.0	11157.0
Southern Methodist University	Dallas, TX	56.0	50358.0	6411.0
University of Georgia	Athens, GA	56.0	29844.0	27547.0
University of Texas--Austin	Austin, TX	56.0	34676.0	39619.0
Fordham University	New York, NY	60.0	47317.0	8855.0
Purdue University--West Lafayette	West Lafayette, IN	60.0	28804.0	29497.0
Syracuse University	Syracuse, NY	60.0	45022.0	15196.0
University of Connecticut	Storrs, CT	60.0	35858.0	18826.0
University of Maryland--College Park	College Park, MD	60.0	32045.0	27443.0
Worcester Polytechnic Institute	Worcester, MA	60.0	46994.0	4299.0
Clemson University	Clemson, SC	66.0	32796.0	18016.0
Yeshiva University	New York, NY	66.0	40670.0	2744.0
Brigham Young University--Provo	Provo, UT	68.0	5300.0	30221.0
University of Pittsburgh	Pittsburgh, PA	68.0	29758.0	18908.0
Rutgers University--New Brunswick	Piscataway, NJ	70.0	30023.0	35484.0
Baylor University	Waco, TX	71.0	42006.0	14189.0
Stevens Institute of Technology	Hoboken, NJ	71.0	48838.0	2873.0
University of Minnesota--Twin Cities	Minneapolis, MN	71.0	22210.0	34071.0
American University	Washington, DC	74.0	44853.0	7909.0
Clark University	Worcester, MA	74.0	43150.0	2397.0
Texas A&M University--College Station	College Station, TX	74.0	28768.0	48960.0
University of Massachusetts--Amherst	Amherst, MA	74.0	30123.0	22748.0
Virginia Tech	Blacksburg, VA	74.0	29371.0	25384.0
Miami University--Oxford	Oxford, OH	79.0	31592.0	16387.0
University of California--Santa Cruz	Santa Cruz, CA	79.0	40241.0	16231.0
University of Delaware	Newark, DE	79.0	31420.0	18322.0
Colorado School of Mines	Golden, CO	82.0	34828.0	4608.0
Michigan State University	East Lansing, MI	82.0	39090.0	39143.0
Texas Christian University	Fort Worth, TX	82.0	42670.0	8894.0
University of Iowa	Iowa City, IA	82.0	28413.0	23357.0
Binghamton University--SUNY	Binghamton, NY	86.0	22164.0	13491.0
Indiana University--Bloomington	Bloomington, IN	86.0	34246.0	38364.0
Marquette University	Milwaukee, WI	86.0	38470.0	8334.0
University of Denver	Denver, CO	86.0	46362.0	5758.0
University of San Diego	San Diego, CA	86.0	46140.0	5647.0
University of Tulsa	Tulsa, OK	86.0	38796.0	3478.0
Florida State University	Tallahassee, FL	92.0	24673.0	32706.0
North Carolina State University--Raleigh	Raleigh, NC	92.0	26399.0	24111.0
University of Colorado--Boulder	Boulder, CO	92.0	35079.0	27010.0
